FreqHz,ReflectionReal,ReflectionImag,ReflectionAbs,AbsorptionCoeff,ImpedanceReal_Pa_s_per_m,ImpedanceImag_Pa_s_per_m,AdmittanceReal_m_per_Pa_s,AdmittanceImag_m_per_Pa_s
100,0.918503010880306,0.395510629382084,1.00156122686249,0.155865826933626,-8.46146892855212,2051.46913334558,-1.96021632428646e-06,-0.000497118385562347
125,0.975228548277524,0.222564254404443,1.0017051486582,0.048785017203238,-33.9565490502607,3907.10303000763,-2.07980317488045e-06,-0.000271650386442526
160,0.999946974451521,0.0318948688551576,1.001805484546,0.000101401867371434,-14140.1896252452,3220.53239195848,-2.17516084723506e-06,-3.84475283237717e-05
200,0.990014858993677,-0.143958284589424,1.0018535654563,0.0198113533427179,-127.598032855184,-6839.57664049781,-2.24431582278427e-06,0.000174385272304612
250,0.946540209351623,-0.323219445240843,1.00186599192827,0.1037153285724,-15.8887124284615,-2582.27031877395,-2.30989442175226e-06,0.000400383245044763
315,0.858327873356186,-0.51276439072187,1.00184328980471,0.262213420221728,-5.63934163917526,-1526.013381515,-2.39026189555751e-06,0.000665618903885237
400,0.706715560342015,-0.706093006495219,1.00177821555305,0.497785889059236,-2.59323281614957,-1012.25732723916,-2.51132485337176e-06,0.000999029508997715
500,0.491354250771853,-0.868391288738555,1.00166850817312,0.752664895021072,-1.3952141081038,-717.240914409175,-2.69862786692311e-06,0.00140878489392928
630,0.176278724322332,-0.980111630963376,1.00148273998346,0.958027990662945,-0.762901833062521,-499.77622490842,-3.04755177081449e-06,0.00202450331794082
800,-0.245377122959157,-0.961651049786374,1.00116790836087,0.923553113897239,-0.39707950345949,-324.700948388719,-3.77349079944694e-06,0.003138070399888
1000,-0.668216626373929,-0.726897476965675,1.0006810011303,0.53917466767418,-0.173629254596547,-183.682748812214,-5.10894038049895e-06,0.00573207945906894
1220,-0.888071438540848,-0.450683079741038,1.00023796791125,0.209549886808048,-0.0529704130979663,-99.5109163999609,-4.67769421592089e-06,0.0105093094534521
