Freq_Hz,X_real,X_imag,Y_real,Y_imag,H_real,H_imag,H_mag_dB,H_phase_rad,Impulse_response
0.000000,285.204529,0.000000,-14.864435,0.000000,-0.052119,0.000000,25.660160,3.141593,0.021792
0.672913,412.299438,-13.701366,-3.177097,8.905786,-0.008414,0.021321,32.795334,1.946687,0.043790
1.345825,286.469788,-29.162437,-2.071595,3.917790,-0.008535,0.012807,36.254807,2.158641,0.001753
2.018738,412.861755,-43.152431,2.427965,6.308599,0.004237,0.015723,35.764740,1.307546,0.001982
2.691650,287.250244,-59.031342,1.631707,-0.830012,0.006020,-0.001652,44.092606,-0.267882,-0.006094
3.364563,413.953491,-73.350662,-0.501902,3.832646,-0.002766,0.008768,40.729477,1.876385,-0.127421
4.037476,288.475098,-90.376900,3.759086,1.168825,0.010710,0.007407,37.706345,0.605063,-0.026161
4.710388,415.479645,-105.393684,2.076787,-0.683467,0.005088,-0.000354,45.847393,-0.069506,0.006703
5.383301,290.018311,-124.081131,0.031839,-2.640273,0.003385,-0.007656,41.544918,-1.154465,0.040788
6.056213,417.252502,-140.280487,-2.174625,1.881032,-0.006044,0.002476,43.699425,2.752788,0.030663
6.729126,291.626038,-161.205673,2.875923,0.692122,0.006549,0.005993,41.034462,0.741147,-0.052789
7.402039,418.931396,-179.209808,-0.071676,-1.529206,0.001175,-0.003147,49.473835,-1.213412,-0.006300
8.074951,292.830475,-203.088257,0.410621,-1.419443,0.003217,-0.002616,47.646465,-0.682826,0.088914
8.747864,419.883240,-223.687363,-3.286911,-1.147881,-0.004963,-0.005378,42.712040,-2.316113,0.003609
9.420776,292.784973,-251.414124,-0.035736,1.825541,-0.003152,0.003528,46.500389,2.299892,-0.007674
10.093689,418.994507,-275.610718,-2.575343,-2.853196,-0.001164,-0.007575,42.310963,-1.723223,-0.016562
10.766602,290.008545,-308.321777,-5.714231,4.495407,-0.016985,-0.002557,35.301224,-2.992177,0.021121
11.439514,414.299591,-337.348511,0.885198,5.399245,-0.005096,0.008883,39.793419,2.091671,0.046185
12.112427,281.934875,-376.401733,1.718571,3.903572,-0.004453,0.007901,40.848522,2.083993,0.059263
12.785339,402.454285,-411.699402,4.144273,0.819753,0.004014,0.006143,42.688736,0.992036,-0.011577
13.458252,264.225983,-458.578979,-0.874266,-0.929067,0.000696,-0.002308,52.358059,-1.277743,-0.086979
14.131165,377.892273,-501.590057,0.494658,3.113637,-0.003486,0.003612,45.985703,2.338375,-0.087688
14.804077,229.796768,-557.584229,0.990855,0.499072,-0.000139,0.001834,54.705406,1.646463,-0.022726
15.476990,331.689758,-609.239502,-0.166289,3.044099,-0.003969,0.001888,47.141056,2.697606,0.047290
16.149902,167.542877,-674.653198,2.661633,3.117311,-0.003429,0.004797,44.587929,2.191468,0.025629
16.822815,250.262512,-734.221069,3.871675,1.439950,-0.000147,0.005323,45.473251,1.598359,0.001579
17.495728,61.179657,-806.800293,1.972546,-0.719108,0.001071,0.002364,51.717754,1.145526,-0.016791
18.168640,114.548935,-869.784424,1.779348,2.718189,-0.002807,0.002415,48.628483,2.431041,0.004128
18.841553,-110.874222,-941.954529,5.207105,0.008939,-0.000651,0.005451,45.208416,1.689680,0.016560
19.514465,-98.785004,-996.697754,3.104692,-0.910929,0.000599,0.003174,49.814713,1.384192,-0.003267
20.187378,-372.248169,-1051.633301,4.383126,-3.089724,0.001300,0.004628,46.362339,1.296989,-0.056249
20.860291,-411.174744,-1075.029297,-1.027468,-3.962986,0.003535,0.000396,48.978363,0.111630,0.021757
21.533203,-738.357178,-1082.539551,-0.401677,0.970108,-0.000439,-0.000670,61.924255,-2.150446,0.066838
22.206116,-826.637573,-1037.031982,3.141132,-0.160928,-0.001381,0.001928,52.498970,2.192590,0.034773
22.879028,-1194.802368,-952.989319,1.505845,-3.972120,0.000850,0.002646,51.120605,1.259876,0.022549
23.551941,-1303.872437,-790.257446,-1.900961,-0.617358,0.001276,-0.000300,57.648529,-0.230866,-0.046212
24.224854,-1664.165039,-566.877625,1.966950,-0.559203,-0.000956,0.000662,58.687279,2.536291,-0.042030
24.897766,-1720.886841,-247.242172,-0.700278,-1.244945,0.000501,0.000652,61.706882,0.915714,-0.011703
25.570679,-1974.640869,136.269257,2.434063,-0.893705,-0.001258,0.000366,57.654526,2.858608,0.010692
26.243591,-1857.461548,601.181885,-1.527146,-3.319936,0.000221,0.001859,54.554893,1.452681,-0.005530
26.916504,-1869.883789,1085.799072,0.314347,0.094226,-0.000104,-0.000111,76.376358,-2.324274,-0.028381
27.589417,-1448.589478,1576.212036,-1.258662,-3.745408,-0.000890,0.001617,54.676689,2.074164,0.023704
28.262329,-1121.796265,1974.181030,-3.707033,-0.088553,0.000773,0.001439,55.739971,1.077945,0.054812
28.935242,-366.204315,2239.466797,-2.897255,2.499122,0.001293,0.001082,55.462173,0.696954,0.035593
29.608154,223.547440,2261.038330,2.638061,2.805752,0.001343,-0.001034,55.416523,-0.656055,-0.034899
30.281067,1099.334595,2019.508057,-1.042251,-2.859676,-0.001309,-0.000197,57.564049,-2.992594,-0.062216
30.953979,1589.309570,1461.173828,-1.569116,3.190326,0.000465,0.001580,55.667152,1.284473,0.011122
31.626892,2100.938721,671.656921,-0.540443,-0.165758,-0.000256,0.000003,71.825432,3.129767,0.043965
32.299805,1961.915771,-267.827332,-1.188333,5.425770,-0.000965,0.002634,51.041088,1.922083,0.012819
32.972717,1664.343872,-1126.741211,3.694819,2.163012,0.000919,0.001922,53.431671,1.124742,0.011507
33.645630,697.179810,-1722.812866,3.140679,3.360474,-0.001042,0.002245,52.128937,2.005460,-0.056872
34.318542,-211.829605,-1815.131104,6.400423,-2.616924,0.001016,0.003645,48.441387,1.298846,-0.073657
34.991455,-1339.811035,-1354.925049,-0.691710,-1.735045,0.000903,0.000382,60.173344,0.400430,0.000901
35.664368,-1798.564697,-377.992371,3.697722,-0.030218,-0.001966,0.000430,53.927254,2.926272,0.044811
36.337280,-1895.858765,790.931824,1.630174,-3.528493,-0.001394,0.001280,54.460983,2.398823,-0.018891
37.010193,-1005.434509,1778.929932,-0.612502,-3.485358,-0.001337,0.001100,55.230030,2.453202,-0.025262
37.683105,81.524353,2118.771973,-3.444179,0.181958,0.000023,0.001626,55.774292,1.556473,0.047235
38.356018,1460.006714,1637.964844,1.025268,2.120330,0.001032,0.000294,59.384995,0.277623,0.054347
39.028931,1987.764160,422.123505,0.702968,0.566722,0.000396,0.000201,67.045486,0.469248,0.038026
39.701843,1858.313232,-961.092163,3.028566,0.812241,0.001107,0.001010,56.485397,0.739328,0.025910
40.374756,544.118408,-1859.135742,1.903990,-2.282726,0.001407,0.000612,56.280586,0.410461,-0.050225
41.047668,-805.817749,-1686.026489,0.817114,-1.153326,0.000368,0.000661,62.425179,1.062241,-0.036386
41.720581,-1931.179810,-503.174438,0.770145,-1.932633,-0.000129,0.001034,59.638641,1.695119,0.017134
42.393494,-1592.729248,1088.052979,-0.253309,-0.849663,-0.000140,0.000438,66.751450,1.880376,0.036259
43.066406,-415.018555,2026.313599,1.642440,-1.229120,-0.000741,-0.000659,60.071484,-2.415261,-0.010979
43.739319,1373.171997,1662.420898,-1.097685,-3.335074,-0.001517,-0.000593,55.765030,-2.769160,0.008759
44.412231,2006.733887,107.719208,-1.864695,0.559754,-0.000912,0.000328,60.275425,2.796339,-0.033294
45.085144,1431.133301,-1491.531982,0.252182,-0.262681,0.000176,0.000000,75.081810,0.000273,-0.043400
45.758057,-486.485840,-1917.529785,0.159953,0.021293,-0.000030,0.000076,81.769600,1.951603,-0.071710
46.430969,-1728.024414,-686.138306,-0.453291,-1.699974,0.000564,0.000760,60.479660,0.932240,0.047667
47.103882,-1665.521729,1175.254028,-0.796564,1.776436,0.000822,-0.000487,60.399239,-0.534770,-0.036491
47.776794,221.871521,2054.286377,1.664285,-2.113108,-0.000930,-0.000911,57.709160,-2.366871,-0.026718
48.449707,1747.871094,995.812012,-3.012952,1.308900,-0.000979,0.001307,55.740349,2.213903,0.052417
49.122620,1863.408813,-1008.849426,4.334210,0.451687,0.001697,0.001161,53.737415,0.600056,0.077218
49.795532,-118.091324,-1994.862793,-2.344049,-3.837218,0.001986,-0.001057,52.955898,-0.489247,0.045130
50.468445,-1693.845215,-793.577393,-0.795109,2.130545,-0.000098,-0.001212,58.303188,-1.651746,-0.026626
51.141357,-1559.913818,1306.213013,-0.309761,-0.989264,-0.000195,0.000471,65.857056,1.964455,-0.045356
51.814270,688.324707,1962.910889,-0.484367,1.881297,0.000776,0.000519,60.593788,0.589259,-0.016888
52.487183,1972.565674,256.318237,1.030386,-0.267540,0.000496,-0.000200,65.430000,-0.383258,0.084201
